ori,agency_name,state,population
AKAST01,ALASKA STATE TROOPERS,AK,274619
AK00101,ANCHORAGE,AK,287385
AK00163,ANVIK,AK,71
AK00113,BETHEL,AK,6336
AK00146,BRISTOL BAY BOROUGH,AK,892
AK00114,CORDOVA,AK,2173
AK00145,CRAIG,AK,1055
AK00130,DILLINGHAM,AK,2122
AK00164,EMMONAK,AK,770
AK00102,FAIRBANKS,AK,31565
AK00121,HAINES,AK,2095
AK00122,HOMER,AK,6292
AK00131,HOONAH,AK,984
AK00166,HOUSTON,AK,2292
AK00103,JUNEAU,AK,31211
AK00147,KAKE,AK,541
AK00123,KENAI,AK,7854
AK00104,KETCHIKAN,AK,8000
AK00135,KLAWOCK,AK,717
AK00105,KODIAK,AK,5361
AK00116,KOTZEBUE,AK,2839
AK00149,NENANA,AK,335
AK00106,NOME,AK,3663
AK00132,NORTH POLE,AK,2575
AK00118,NORTH SLOPE BOROUGH,AK,10510
AK00117,PALMER,AK,6810
AK00107,PETERSBURG,AK,3420
AK00152,SAND POINT,AK,708
AK00119,SELDOVIA,AK,253
AK00108,SEWARD,AK,2921
AK00109,SITKA,AK,8281
AK00110,SKAGWAY,AK,1084
AK00120,SOLDOTNA,AK,4605
AK00150,ST. PAUL,AK,447
AK00154,TOGIAK,AK,773
AK00133,UNALASKA,AK,4448
AK00112,VALDEZ,AK,3863
AK00156,WASILLA,AK,10643
AK00128,WHITTIER,AK,204
AK00111,WRANGELL,AK,2035
AL03701,ABBEVILLE,AL,2375
AL00122,ADAMSVILLE,AL,4132
AL06703,ADDISON,AL,680
AL05904,ALABASTER,AL,34730
AL05001,ALBERTVILLE,AL,23642
AL06201,ALEXANDER CITY,AL,14343
AL05401,ALICEVILLE,AL,2007
AL03109,ALTOONA,AL,903
AL02301,ANDALUSIA,AL,8700
AL04103,ANDERSON,AL,258
AL01101,ANNISTON,AL,21030
AL05003,ARAB,AL,9019
AL04402,ARDMORE,AL,1483
AL05812,ARGO,AL,4306
AL02608,ARITON,AL,666
AL06704,ARLEY,AL,335
AL03802,ASHFORD,AL,2434
AL01701,ASHLAND,AL,1936
AL05802,ASHVILLE,AL,2414
AL04401,ATHENS,AL,34571
AL03001,ATMORE,AL,8294
AL03101,ATTALLA,AL,5726
AL04301,AUBURN,AL,85520
AL00400,AUTAUGA,AL,22249
AL00402,AUTAUGAVILLE,AL,822
AL00607,BAKER HILL,AL,201
AL00500,BALDWIN,AL,115562
AL00600,BARBOUR,AL,8035
AL00501,BAY MINETTE,AL,8604
AL00206,BAYOU LA BATRE,AL,2111
AL04907,BEAR CREEK,AL,1056
AL05103,BEATRICE,AL,194
AL03202,BERRY,AL,1175
AL00101,BESSEMER,AL,24850
AL00700,BIBB,AL,12723
AL00102,BIRMINGHAM,AL,193432
AL00800,BLOUNT,AL,46598
AL00802,BLOUNTSVILLE,AL,1818
AL05004,BOAZ,AL,9455
AL02402,BRANTLEY,AL,796
AL00702,BRENT,AL,4073
AL03002,BREWTON,AL,5098
AL03902,BRIDGEPORT,AL,2268
AL00118,BRIGHTON,AL,2224
AL04905,BRILLIANT,AL,840
AL00127,BROOKSIDE,AL,1390
AL06308,BROOKWOOD,AL,2441
AL05502,BRUNDIDGE,AL,2018
AL00900,BULLOCK,AL,6711
AL01000,BUTLER,AL,9455
AL01501,BUTLER,AL,1694
AL05901,CALERA,AL,18960
AL01100,CALHOUN,AL,53679
AL06601,CAMDEN,AL,1659
AL06203,CAMP HILL,AL,956
AL06402,CARBON HILL,AL,1715
AL00128,CARDIFF,AL,57
AL05404,CARROLLTON,AL,956
AL02102,CASTLEBERRY,AL,454
AL01302,CEDAR BLUFF,AL,1957
AL01301,CENTRE,AL,3908
AL00701,CENTREVILLE,AL,2705
AL01200,CHAMBERS,AL,14331
AL06503,CHATOM,AL,1046
AL01300,CHEROKEE,AL,19553
AL02004,CHEROKEE,AL,966
AL00203,CHICKASAW,AL,6189
AL06103,CHILDERSBURG,AL,4581
AL01400,CHILTON,AL,32435
AL01500,CHOCTAW,AL,9207
AL00204,CITRONELLE,AL,3928
AL01401,CLANTON,AL,9351
AL01600,CLARKE,AL,11871
AL01700,CLAY,AL,9828
AL02609,CLAYHATCHEE,AL,486
AL00602,CLAYTON,AL,2175
AL01800,CLEBURNE,AL,12100
AL00803,CLEVELAND,AL,1267
AL00603,CLIO,AL,1183
AL06314,COALING,AL,1988
AL01900,COFFEE,AL,20847
AL03405,COFFEE SPRINGS,AL,212
AL01606,COFFEEVILLE,AL,245
AL02000,COLBERT,AL,20231
AL02802,COLLINSVILLE,AL,2051
AL03804,COLUMBIA,AL,710
AL05902,COLUMBIANA,AL,5002
AL02100,CONECUH,AL,7042
AL02200,COOSA,AL,8689
AL02904,COOSADA,AL,1320
AL06403,CORDOVA,AL,1669
AL03805,COTTONWOOD,AL,1103
AL00130,COUNTY LINE,AL,223
AL04203,COURTLAND,AL,595
AL02300,COVINGTON,AL,18936
AL02400,CRENSHAW,AL,9646
AL00212,CREOLA,AL,1982
AL02810,CROSSVILLE,AL,1829
AL06003,CUBA,AL,273
AL02500,CULLMAN,AL,69683
AL02501,CULLMAN,AL,20710
AL06202,DADEVILLE,AL,2899
AL02600,DALE,AL,21286
AL02602,DALEVILLE,AL,5026
AL02700,DALLAS,AL,18974
AL00508,DAPHNE,AL,31568
AL00215,DAUPHIN ISLAND,AL,1960
AL06205,DAVISTON,AL,177
AL05201,DECATUR,AL,58127
AL02800,DEKALB,AL,39466
AL04801,DEMOPOLIS,AL,6623
AL06404,DORA,AL,2236
AL03801,DOTHAN,AL,70162
AL06701,DOUBLE SPRINGS,AL,1123
AL05006,DOUGLAS,AL,796
AL02403,DOZIER,AL,282
AL03906,DUTTON,AL,337
AL03003,EAST BREWTON,AL,2241
AL02903,ECLECTIC,AL,1218
AL01901,ELBA,AL,3550
AL00510,ELBERTA,AL,2184
AL04403,ELKMONT,AL,452
AL02900,ELMORE,AL,59149
AL01902,ENTERPRISE,AL,30570
AL06004,EPES,AL,265
AL03000,ESCAMBIA,AL,19556
AL03100,ETOWAH,AL,30036
AL00601,EUFAULA,AL,12240
AL03501,EUTAW,AL,2592
AL02101,EVERGREEN,AL,3279
AL05104,EXCEL,AL,515
AL00104,FAIRFIELD,AL,9412
AL00502,FAIRHOPE,AL,26953
AL05204,FALKVILLE,AL,1108
AL04804,FAUNSDALE,AL,81
AL03200,FAYETTE,AL,9836
AL03201,FAYETTE,AL,4031
AL03004,FLOMATON,AL,1443
AL02303,FLORALA,AL,1932
AL04101,FLORENCE,AL,43266
AL00503,FOLEY,AL,30196
AL03502,FORKLAND,AL,414
AL04501,FORT DEPOSIT,AL,1097
AL02801,FORT PAYNE,AL,15054
AL03300,FRANKLIN,AL,16991
AL04604,FRANKLIN,AL,563
AL05102,FRISCO CITY,AL,1090
AL01604,FULTON,AL,211
AL00111,FULTONDALE,AL,9275
AL02811,FYFFE,AL,977
AL03102,GADSDEN,AL,32894
AL02304,GANTT,AL,198
AL02503,GARDEN CITY,AL,545
AL00105,GARDENDALE,AL,16457
AL03400,GENEVA,AL,16300
AL03401,GENEVA,AL,4242
AL01002,GEORGIANA,AL,1253
AL02803,GERALDINE,AL,911
AL01502,GILBERTOWN,AL,694
AL03104,GLENCOE,AL,5383
AL02404,GLENWOOD,AL,154
AL02504,GOOD HOPE,AL,2684
AL02201,GOODWATER,AL,1246
AL05402,GORDO,AL,1542
AL03803,GORDON,AL,303
AL05005,GRANT,AL,1068
AL00116,GRAYSVILLE,AL,1840
AL03500,GREENE,AL,4401
AL03601,GREENSBORO,AL,2181
AL01001,GREENVILLE,AL,6892
AL01603,GROVE HILL,AL,1701
AL04903,GUIN,AL,2125
AL00504,GULF SHORES,AL,17993
AL05002,GUNTERSVILLE,AL,9413
AL04703,GURLEY,AL,847
AL04904,HACKLEBURG,AL,1453
AL03600,HALE,AL,10831
AL06702,HALEYVILLE,AL,4250
AL04901,HAMILTON,AL,6950
AL02808,HAMMONDVILLE,AL,429
AL02502,HANCEVILLE,AL,3380
AL05909,HARPERSVILLE,AL,2006
AL03403,HARTFORD,AL,2789
AL05202,HARTSELLE,AL,16361
AL00808,HAYDEN,AL,1359
AL04502,HAYNEVILLE,AL,727
AL03702,HEADLAND,AL,5549
AL01801,HEFLIN,AL,3590
AL05907,HELENA,AL,19896
AL02804,HENAGAR,AL,2326
AL03700,HENRY,AL,9904
AL00805,HIGHLAND LAKE,AL,435
AL04204,HILLSBORO,AL,402
AL01106,HOBSON CITY,AL,736
AL03305,HODGES,AL,262
AL03106,HOKES BLUFF,AL,4728
AL03904,HOLLYWOOD,AL,932
AL00110,HOMEWOOD,AL,28051
AL00112,HOOVER,AL,65283
AL03800,HOUSTON,AL,29255
AL00119,HUEYTOWN,AL,16039
AL04701,HUNTSVILLE,AL,228789
AL05702,HURTSBORO,AL,342
AL02814,IDER,AL,741
AL00113,IRONDALE,AL,13563
AL01601,JACKSON,AL,4416
AL03900,JACKSON,AL,29791
AL06207,JACKSONS GAP,AL,749
AL01102,JACKSONVILLE,AL,14741
AL06401,JASPER,AL,14569
AL00100,JEFFERSON,AL,145845
AL01403,JEMISON,AL,3098
AL04003,KENNEDY,AL,422
AL04107,KILLEN,AL,1043
AL00129,KIMBERLY,AL,4811
AL03806,KINSEY,AL,2280
AL01904,KINSTON,AL,603
AL01201,LAFAYETTE,AL,2586
AL06311,LAKE VIEW,AL,3654
AL04000,LAMAR,AL,8878
AL01202,LANETT,AL,6648
AL04100,LAUDERDALE,AL,51192
AL04200,LAWRENCE,AL,27747
